# Copyright (C) 2018  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 18.1.0 Build 625 09/12/2018 SJ Lite Edition
# File: C:\ProjetoFinalEduardoAlves\ProjetoFinal.csv
# Generated on: Wed Nov 29 16:21:16 2023

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
Dados[3],Input,PIN_C12,7,B7_N0,PIN_C12,2.5 V,,,,,
Dados[2],Input,PIN_D12,7,B7_N0,PIN_D12,2.5 V,,,,,
Dados[1],Input,PIN_C11,7,B7_N0,PIN_C11,2.5 V,,,,,
Dados[0],Input,PIN_C10,7,B7_N0,PIN_C10,2.5 V,,,,,
Disp0[6],Output,PIN_C17,7,B7_N0,PIN_C17,2.5 V,,,,,
Disp0[5],Output,PIN_D17,7,B7_N0,PIN_D17,2.5 V,,,,,
Disp0[4],Output,PIN_E16,7,B7_N0,PIN_E16,2.5 V,,,,,
Disp0[3],Output,PIN_C16,7,B7_N0,PIN_C16,2.5 V,,,,,
Disp0[2],Output,PIN_C15,7,B7_N0,PIN_C15,2.5 V,,,,,
Disp0[1],Output,PIN_E15,7,B7_N0,PIN_E15,2.5 V,,,,,
Disp0[0],Output,PIN_C14,7,B7_N0,PIN_C14,2.5 V,,,,,
Disp1[6],Output,PIN_B17,7,B7_N0,PIN_B17,2.5 V,,,,,
Disp1[5],Output,PIN_A18,7,B7_N0,PIN_A18,2.5 V,,,,,
Disp1[4],Output,PIN_A17,7,B7_N0,PIN_A17,2.5 V,,,,,
Disp1[3],Output,PIN_B16,7,B7_N0,PIN_B16,2.5 V,,,,,
Disp1[2],Output,PIN_E18,6,B6_N0,PIN_E18,2.5 V,,,,,
Disp1[1],Output,PIN_D18,6,B6_N0,PIN_D18,2.5 V,,,,,
Disp1[0],Output,PIN_C18,7,B7_N0,PIN_C18,2.5 V,,,,,
Disp2[6],Output,PIN_B22,6,B6_N0,PIN_B22,2.5 V,,,,,
Disp2[5],Output,PIN_C22,6,B6_N0,PIN_C22,2.5 V,,,,,
Disp2[4],Output,PIN_B21,6,B6_N0,PIN_B21,2.5 V,,,,,
Disp2[3],Output,PIN_A21,6,B6_N0,PIN_A21,2.5 V,,,,,
Disp2[2],Output,PIN_B19,7,B7_N0,PIN_B19,2.5 V,,,,,
Disp2[1],Output,PIN_A20,7,B7_N0,PIN_A20,2.5 V,,,,,
Disp2[0],Output,PIN_B20,6,B6_N0,PIN_B20,2.5 V,,,,,
Disp3[6],Output,PIN_E17,6,B6_N0,PIN_E17,2.5 V,,,,,
Disp3[5],Output,PIN_D19,6,B6_N0,PIN_D19,2.5 V,,,,,
Disp3[4],Output,PIN_C20,6,B6_N0,PIN_C20,2.5 V,,,,,
Disp3[3],Output,PIN_C19,7,B7_N0,PIN_C19,2.5 V,,,,,
Disp3[2],Output,PIN_E21,6,B6_N0,PIN_E21,2.5 V,,,,,
Disp3[1],Output,PIN_E22,6,B6_N0,PIN_E22,2.5 V,,,,,
Disp3[0],Output,PIN_F21,6,B6_N0,PIN_F21,2.5 V,,,,,
Instrucao,Input,PIN_A12,7,B7_N0,PIN_A12,2.5 V,,,,,
clk,Input,PIN_A7,7,B7_N0,PIN_A7,2.5 V,,,,,
fim,Output,PIN_B11,7,B7_N0,PIN_B11,2.5 V,,,,,
rst,Input,PIN_B8,7,B7_N0,PIN_B8,2.5 V,,,,,
